id,title,status,action,effectiveDate,linkedCanyons,textUrl,attachmentCount,sourceConfidence
85,Arrêté municipal,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/85/legislation.html,0,needs_manual_search
86,Information,Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/86/legislation.html,0,needs_manual_search
87,Arrêté,Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/87/legislation.html,0,needs_manual_search
88,Arrêté,Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/88/legislation.html,0,needs_manual_search
89,Arrêté (Parc de la Sierra de Guara) - 14 juil 1997,Actif,Réglemente,14 juil 1997,42,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/89/legislation.html,0,needs_manual_search
101,Arrêté municipal (Rocchetta Nervina),Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/101/legislation.html,1,mirror_attachment_present
105,Arrêté préfectoral (Isère) - 16 déc 1996,Actif,Réglemente,16 déc 1996,2,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/105/legislation.html,0,needs_manual_search
106,Arrêté municipal (Bidarray) - 22 oct 2002,Actif,Interdit,22 oct 2002,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/106/legislation.html,1,mirror_attachment_present
107,Arrêté municipal (Les Marecottes),Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/107/legislation.html,0,needs_manual_search
108,Arrêté (Parc du Mont Perdu) - 17 mars 1995,Actif,Interdit,17 mars 1995,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/108/legislation.html,0,needs_manual_search
110,Arrêté municipal - 20 juil 2004,Actif,Réglemente,20 juil 2004,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/110/legislation.html,0,needs_manual_search
112,Arrêté municipal (St Claude) - 27 mai 1997,Actif,Interdit,27 mai 1997,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/112/legislation.html,1,mirror_attachment_present
113,Arrêté (Parc national du Mercantour),Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/113/legislation.html,0,needs_manual_search
